ticket_id,submitted_at,category,priority,summary
T-1046,2026-08-01 09:00,hardware,medium,"User reports persistent slow performance, especially in Excel and the browser."
T-1003,2026-08-02 09:00,software,medium,Screen share shows a black screen to other meeting participants.
T-1004,2026-08-02 16:00,account_access,high,User lost access to the Finance shared drive after a recent permissions update.
T-1019,2026-08-04 11:00,hardware,medium,"User reports persistent slow performance, especially in Excel and the browser."
T-1012,2026-08-05 08:00,network,medium,"Wi-Fi disconnects intermittently in conference room B, disrupting client calls."
T-1048,2026-08-05 16:00,hardware,high,"Laptop won't power on at all despite a charged battery, likely a hardware failure."
T-1039,2026-08-05 16:00,security,low,User needs an external backup drive encrypted per compliance before use.
T-1016,2026-08-05 17:00,software,high,"Client emails are landing in spam since a recent domain change, likely a DNS/SPF issue."
T-1038,2026-08-06 09:00,hardware,high,"Laptop won't power on at all despite a charged battery, likely a hardware failure."
T-1013,2026-08-06 11:00,security,high,User reported a suspicious email requesting password verification.
T-1008,2026-08-07 09:00,software,high,"Client emails are landing in spam since a recent domain change, likely a DNS/SPF issue."
T-1026,2026-08-08 10:00,software,high,User received a notification that their nightly backup failed.
T-1031,2026-08-08 12:00,account_access,medium,User can view invoices but lost approval permissions despite an unchanged role.
T-1025,2026-08-09 16:00,software,high,Internal reporting dashboard shows a blank page after the latest update.
T-1034,2026-08-13 10:00,network,high,"User can't connect to the reporting database remotely, likely a VPN/network issue."
T-1042,2026-08-13 12:00,account_access,medium,User lost access to the Finance shared drive after a recent permissions update.
T-1015,2026-08-14 18:00,network,high,"Wi-Fi disconnects intermittently in conference room B, disrupting client calls."
T-1047,2026-08-15 09:00,network,medium,Teams calls have been dropping roughly every 20 minutes for two days.
T-1017,2026-08-16 10:00,network,high,"User can't connect to the reporting database remotely, likely a VPN/network issue."
T-1044,2026-08-16 11:00,account_access,medium,Phone stopped syncing company email; re-adding the account didn't fix it.
T-1032,2026-08-17 16:00,software,medium,User needs temporary admin rights to install a data visualization tool.
T-1006,2026-08-18 08:00,hardware,medium,"User reports persistent slow performance, especially in Excel and the browser."
T-1001,2026-08-18 11:00,network,high,"User can't connect to the reporting database remotely, likely a VPN/network issue."
T-1037,2026-08-20 11:00,software,low,New design software is asking for a license key that hasn't been provisioned yet.
T-1021,2026-08-21 11:00,network,high,"VPN connection drops every 10-15 minutes, a new issue this week."
T-1043,2026-08-24 15:00,software,high,Internal reporting dashboard shows a blank page after the latest update.
T-1020,2026-08-26 12:00,hardware,high,"Laptop won't power on at all despite a charged battery, likely a hardware failure."
T-1007,2026-08-28 13:00,account_access,medium,User can view invoices but lost approval permissions despite an unchanged role.
T-1027,2026-08-28 17:00,network,high,"User can't connect to the reporting database remotely, likely a VPN/network issue."
T-1024,2026-08-28 17:00,software,high,"Client emails are landing in spam since a recent domain change, likely a DNS/SPF issue."
T-1022,2026-08-30 10:00,network,high,"User can't connect to the reporting database remotely, likely a VPN/network issue."
T-1014,2026-08-30 18:00,software,low,New design software is asking for a license key that hasn't been provisioned yet.
T-1040,2026-08-31 16:00,account_access,high,User can view invoices but lost approval permissions despite an unchanged role.
T-1036,2026-09-01 08:00,account_access,high,User locked out of company email despite resetting the password twice.
T-1049,2026-09-01 11:00,hardware,medium,"User reports persistent slow performance, especially in Excel and the browser."
T-1002,2026-09-04 09:00,hardware,high,"User reports persistent slow performance, especially in Excel and the browser."
T-1010,2026-09-04 09:00,hardware,high,"Laptop won't power on at all despite a charged battery, likely a hardware failure."
T-1030,2026-09-04 12:00,security,high,User reported a suspicious email requesting password verification.
T-1005,2026-09-04 14:00,account_access,medium,User lost access to the Finance shared drive after a recent permissions update.
T-1035,2026-09-04 16:00,network,medium,"Wi-Fi disconnects intermittently in conference room B, disrupting client calls."
T-1029,2026-09-05 08:00,account_access,medium,Phone stopped syncing company email; re-adding the account didn't fix it.
T-1023,2026-09-05 16:00,software,high,"Client emails are landing in spam since a recent domain change, likely a DNS/SPF issue."
T-1050,2026-09-06 15:00,account_access,medium,User requests access to the Q4-Rollout project folder on the shared server.
T-1045,2026-09-07 16:00,network,medium,"VPN connection drops every 10-15 minutes, a new issue this week."
T-1009,2026-09-08 12:00,software,high,Internal reporting dashboard shows a blank page after the latest update.
T-1041,2026-09-08 14:00,hardware,low,User requests a replacement or second monitor due to flickering.
T-1028,2026-09-08 15:00,network,medium,"VPN connection drops every 10-15 minutes, a new issue this week."
T-1033,2026-09-10 12:00,account_access,high,User can view invoices but lost approval permissions despite an unchanged role.
T-1018,2026-09-10 16:00,account_access,high,"User isn't receiving SMS codes needed to log in remotely, blocking access."
T-1011,2026-09-10 17:00,software,high,Internal reporting dashboard shows a blank page after the latest update.
